,Unnamed: 0,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Sales_normalised_by_year,Critic_normalised_by_year,User_normalised_by_year,Score,GameTier
102,147,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,87.0,0.1684032666854407,94.67,93.9,62.91280108889515,High
103,148,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,92.0,76.0,0.07198254968492487,94.37,78.48,57.64066084989497,High
104,149,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95.0,91.0,0.27864954826438426,97.62,98.78,65.55954984942146,High
105,150,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95.0,68.0,0.16361588284990142,96.0,70.73,55.6312052942833,High
106,151,Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89.0,92.0,0.8123249299719888,85.11,94.59,60.17077497665733,High
107,152,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87.0,88.0,0.17612942612942611,88.61,94.05,60.94537647537647,High
108,153,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89.0,89.0,1.0,54.55,93.75,49.76666666666667,Medium
109,154,Destiny,PS4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76.0,61.0,0.4468253968253969,70.42,61.04,43.96894179894181,Medium
110,155,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.55,0.0,0.51,5.64,80.0,89.0,0.24812692816218598,78.21,95.4,57.952708976054055,High
111,156,Cooking Mama,DS,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,67.0,72.0,0.0681047018904508,59.15,73.42,44.21270156729682,Medium
112,159,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,86.0,0.1691086691086691,93.67,91.67,61.83636955636956,High
113,160,Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81.0,77.0,0.243719700308506,79.49,81.61,53.781239900102825,High
114,161,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92.0,80.0,0.16727716727716727,94.94,84.52,59.875759055759055,High
115,162,Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84.0,78.0,0.36606546426185693,81.69,77.14,53.06535515475393,High
116,163,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81.0,87.0,0.15404111517882285,77.33,93.9,57.12801370505961,High
117,164,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.0,86.0,0.3716032608695653,100.0,97.37,65.9138677536232,High
118,165,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,97.0,79.0,0.4341269841269842,100.0,84.42,61.61804232804233,High
119,166,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,93.0,83.0,0.3647294589178357,94.37,84.29,59.67490981963928,High
120,169,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66.0,71.0,0.36138944555778224,56.34,67.14,41.28046314851926,Low
121,170,Call of Duty: World at War,PS3,2008,Shooter,Activision,2.73,1.83,0.0,0.83,5.39,85.0,76.0,0.1515066178541256,82.67,80.49,54.43716887261804,High
122,171,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93.0,79.0,0.7084432717678101,100.0,86.76,62.48948109058927,High
123,173,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,83.0,73.0,0.16239316239316234,83.54,76.19,53.29746438746438,High
124,175,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94.0,89.0,1.0,94.44,93.9,63.11333333333334,High
125,176,Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,67.0,0.3831640058055153,86.96,64.79,50.711054668601825,Medium
126,177,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85.0,66.0,0.7343532684283728,87.32,62.96,50.338117756142786,Medium
127,179,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,81.0,54.0,0.4174603174603175,77.46,51.95,43.275820105820095,Low
128,181,Assassin's Creed II,X360,2009,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,90.0,88.0,0.16025641025641024,92.41,94.05,62.20675213675213,High
129,185,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,84.0,81.0,0.3780841799709724,86.96,84.51,57.28269472665698,High
130,186,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,89.0,88.0,0.2500000000000001,89.71,90.67,60.21,High
131,188,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,85.0,86.0,0.2282944028206259,84.62,91.95,58.932764800940205,High
132,190,FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90.0,61.0,0.3737300435413644,95.65,56.34,50.78791001451378,Medium
