,Unnamed: 0,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Sales_normalised_by_year,Critic_normalised_by_year,User_normalised_by_year,Score,GameTier
1471,2313,LEGO Marvel Super Heroes,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.42,0.36,0.04,0.07,0.9,61.0,52.0,0.0423204945316215,57.14,51.22,36.134106831510536,Low
1472,2314,DJ Hero,PS3,2009,Misc,Activision,0.42,0.34,0.0,0.14,0.9,86.0,78.0,0.02716727716727716,87.34,82.14,56.502389092389095,High
1473,2316,X-Men Legends,XB,2004,Role-Playing,Activision,0.62,0.24,0.0,0.04,0.9,82.0,85.0,0.042788461538461546,79.41,86.67,55.37426282051282,High
1474,2317,NBA Live 2005,XB,2004,Sports,Electronic Arts,0.81,0.05,0.0,0.04,0.9,85.0,76.0,0.042788461538461546,83.82,74.67,52.84426282051282,High
1475,2318,Harry Potter: Quidditch World Cup,PS2,2003,Sports,Electronic Arts,0.44,0.34,0.0,0.11,0.9,68.0,66.0,0.12378303198887344,63.38,62.96,42.154594343996294,Low
1476,2321,Blitz: The League,PS2,2005,Sports,Unknown,0.74,0.03,0.0,0.12,0.89,76.0,80.0,0.03793103448275862,70.59,84.27,51.632643678160925,Medium
1477,2323,Castlevania: Circle of the Moon,GBA,2001,Platform,Konami Digital Entertainment,0.6,0.22,0.05,0.02,0.89,91.0,85.0,0.05878423513694055,91.55,87.14,59.58292807837897,High
1478,2324,SOCOM 4: U.S. Navy SEALs,PS3,2011,Shooter,Sony Computer Entertainment,0.66,0.11,0.04,0.08,0.89,67.0,63.0,0.059782608695652176,61.33,67.11,42.83326086956522,Low
1479,2325,Tiger Woods PGA Tour 06,PS2,2005,Sports,Electronic Arts,0.74,0.03,0.0,0.12,0.89,83.0,62.0,0.03793103448275862,80.88,64.04,48.31931034482759,Medium
1480,2326,FIFA Street,X360,2012,Sports,Electronic Arts,0.17,0.62,0.0,0.1,0.89,77.0,67.0,0.06386066763425255,76.81,64.79,47.22128688921143,Medium
1481,2327,Classic NES Series: The Legend of Zelda,GBA,2004,Adventure,Nintendo,0.46,0.17,0.24,0.02,0.89,84.0,86.0,0.04230769230769232,82.35,88.0,56.797435897435896,High
1482,2328,Fire Emblem: The Sacred Stones,GBA,2004,Strategy,Nintendo,0.42,0.16,0.3,0.02,0.89,85.0,91.0,0.04230769230769232,83.82,94.67,59.51076923076923,High
1483,2333,Killzone: Liberation,PSP,2006,Shooter,Sony Computer Entertainment,0.44,0.27,0.0,0.18,0.89,77.0,83.0,0.010664081434803685,73.24,87.34,53.53022136047826,High
1484,2334,Finding Nemo,GC,2003,Action,THQ,0.69,0.18,0.0,0.02,0.89,62.0,55.0,0.12239221140472878,54.93,49.38,34.81079740380158,Low
1485,2336,Ace Combat 2,PS,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,83.0,82.0,0.07536764705882354,56.67,25.0,27.248455882352943,Low
1486,2337,NFL 2K2,PS2,2001,Sports,Sega,0.44,0.34,0.0,0.11,0.89,85.0,75.0,0.05878423513694055,83.1,72.86,52.006261411712316,Medium
1487,2338,Pure,PS3,2008,Racing,Disney Interactive Studios,0.42,0.33,0.0,0.14,0.89,83.0,78.0,0.024781751619262174,80.0,82.93,54.31826058387309,High
1488,2340,Resistance: Retribution,PSP,2009,Shooter,Sony Computer Entertainment,0.27,0.35,0.05,0.21,0.89,81.0,81.0,0.026862026862026857,81.01,85.71,55.58228734228734,High
1489,2341,Call of Duty: World at War,DS,2008,Shooter,Activision,0.56,0.25,0.0,0.08,0.89,75.0,78.0,0.024781751619262174,69.33,82.93,50.76159391720642,Medium
1490,2342,Tiger Woods PGA Tour 12: The Masters,PS3,2011,Sports,Electronic Arts,0.52,0.25,0.0,0.11,0.89,80.0,73.0,0.059782608695652176,78.67,80.26,52.99659420289856,High
1491,2346,FIFA Soccer 09 All-Play,Wii,2008,Sports,Electronic Arts,0.28,0.51,0.0,0.09,0.89,80.0,84.0,0.024781751619262174,76.0,90.24,55.42159391720642,High
1492,2348,LEGO Indiana Jones 2: The Adventure Continues,PS3,2009,Action,Activision,0.47,0.29,0.0,0.13,0.89,70.0,71.0,0.026862026862026857,67.09,73.81,46.97562067562068,Medium
1493,2350,Fossil Fighters,DS,2008,Role-Playing,Nintendo,0.83,0.0,0.0,0.06,0.89,70.0,79.0,0.024781751619262174,62.67,84.15,48.94826058387309,Medium
1494,2352,NCAA Football 13,PS3,2012,Action,Electronic Arts,0.82,0.0,0.0,0.07,0.89,79.0,41.0,0.06386066763425255,79.71,28.17,35.98128688921142,Low
1495,2353,Samba De Amigo,Wii,2008,Misc,Sega,0.41,0.37,0.01,0.09,0.88,68.0,81.0,0.024500140805406925,60.0,86.59,48.87150004693513,Medium
1496,2355,The Simpsons Game,PS3,2007,Action,Electronic Arts,0.38,0.36,0.0,0.15,0.88,71.0,75.0,0.03834288232701631,66.67,79.31,48.67278096077568,Medium
1497,2356,Call of Duty: Modern Warfare 2,PC,2009,Shooter,Activision,0.01,0.79,0.0,0.09,0.88,86.0,42.0,0.026556776556776556,87.34,39.29,42.21885225885226,Low
1498,2357,The Tomb Raider Trilogy,PS3,2011,Action,Square Enix,0.27,0.46,0.0,0.15,0.88,78.0,81.0,0.05910326086956521,76.0,90.79,55.6163677536232,High
1499,2358,F1 2010,X360,2010,Racing,Codemasters,0.18,0.59,0.01,0.1,0.88,84.0,75.0,0.03990825688073395,81.69,81.4,54.37663608562693,High
1500,2359,Call of Juarez: Bound in Blood,PS3,2009,Shooter,Ubisoft,0.35,0.37,0.01,0.15,0.88,78.0,78.0,0.026556776556776556,77.22,82.14,53.12885225885226,High
1501,2362,NBA 2K6,PS2,2005,Action,Take-Two Interactive,0.43,0.34,0.0,0.11,0.88,84.0,83.0,0.0375,82.35,87.64,56.67583333333332,High
1502,2363,Dissidia 012: Duodecim Final Fantasy,PSP,2011,Fighting,Square Enix,0.21,0.12,0.46,0.08,0.88,78.0,83.0,0.05910326086956521,76.0,93.42,56.49303442028986,High
1503,2366,Monster 4X4: World Circuit,Wii,2006,Racing,Ubisoft,0.8,0.0,0.01,0.07,0.88,51.0,78.0,0.01054289869122637,36.62,81.01,39.21351429956374,Low
1504,2367,Far Cry: Primal,XOne,2016,Action,Ubisoft,0.47,0.33,0.0,0.08,0.88,77.0,64.0,0.11477572559366755,74.19,64.71,46.33825857519789,Medium
1505,2368,Resident Evil: Revelations,3DS,2012,Action,Capcom,0.3,0.22,0.3,0.05,0.88,82.0,85.0,0.06313497822931785,84.06,90.14,58.08771165940977,High
1506,2369,Sonic Chronicles: The Dark Brotherhood,DS,2008,Role-Playing,Sega,0.5,0.29,0.01,0.08,0.88,74.0,73.0,0.024500140805406925,68.0,76.83,48.28483338026846,Medium
1507,2370,Star Wars: The Force Unleashed,DS,2008,Action,LucasArts,0.5,0.28,0.0,0.09,0.88,61.0,55.0,0.024500140805406925,50.67,54.88,35.19150004693514,Low
1508,2371,Grand Theft Auto IV,PC,2008,Action,Take-Two Interactive,0.01,0.79,0.0,0.07,0.88,90.0,66.0,0.024500140805406925,89.33,68.29,52.5481667136018,High
1509,2372,Rock Band 3,X360,2010,Misc,MTV Games,0.73,0.09,0.0,0.06,0.88,93.0,82.0,0.03990825688073395,94.37,89.53,61.313302752293595,High
1510,2373,WWE SmackDown vs. Raw 2011,X360,2010,Fighting,THQ,0.44,0.35,0.0,0.08,0.88,75.0,76.0,0.03990825688073395,69.01,82.56,50.536636085626924,Medium
1511,2374,ESPN NHL 2K5,PS2,2004,Sports,Global Star,0.43,0.33,0.0,0.11,0.88,86.0,81.0,0.04182692307692308,85.29,81.33,55.55394230769232,High
1512,2375,Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive,0.38,0.33,0.03,0.14,0.88,82.0,78.0,0.1016355140186916,81.82,80.77,54.23054517133957,High
1513,2376,Crimson Skies: High Road to Revenge,XB,2003,Simulation,Microsoft Game Studios,0.65,0.19,0.0,0.03,0.87,88.0,88.0,0.11961057023643948,91.55,90.12,60.59653685674547,High
1514,2377,Madden NFL 08,Wii,2007,Sports,Electronic Arts,0.8,0.0,0.0,0.07,0.87,76.0,68.0,0.037902159541648314,73.08,71.26,48.125967386513885,Medium
1515,2378,Spec Ops: Ranger Elite,PS,2001,Shooter,TalonSoft,0.49,0.33,0.0,0.06,0.87,48.0,66.0,0.05744822979291918,30.99,60.0,30.34914940993097,Low
1516,2380,F1 2009,Wii,2009,Racing,Codemasters,0.15,0.62,0.0,0.11,0.87,69.0,72.0,0.02625152625152625,65.82,75.0,46.94875050875051,Medium
1517,2382,Tom Clancy's Ghost Recon: Island Thunder,XB,2003,Shooter,Ubisoft,0.61,0.24,0.0,0.03,0.87,81.0,88.0,0.11961057023643948,81.69,90.12,57.30987019007881,High
1518,2383,Sleeping Dogs,X360,2012,Action,Square Enix ,0.38,0.4,0.01,0.08,0.87,80.0,79.0,0.06240928882438316,81.16,81.69,54.304136429608135,High
1519,2384,Kingdoms of Amalur: Reckoning,X360,2012,Role-Playing,Electronic Arts,0.55,0.24,0.01,0.07,0.87,80.0,77.0,0.06240928882438316,81.16,78.87,53.36413642960814,High
1520,2388,Kingdom Hearts Re: Chain of Memories,PS2,2008,Role-Playing,Square Enix,0.73,0.03,0.0,0.12,0.87,68.0,72.0,0.024218529991551677,60.0,75.61,45.21140617666385,Medium
1521,2389,Phantasy Star Portable 2,PSP,2009,Role-Playing,Sega,0.08,0.11,0.62,0.06,0.87,69.0,81.0,0.02625152625152625,65.82,85.71,50.51875050875051,Medium
1522,2391,Michael Jackson: The Experience,X360,2011,Misc,Ubisoft,0.62,0.18,0.0,0.07,0.87,63.0,68.0,0.058423913043478264,56.0,73.68,43.24614130434782,Low
1523,2393,LittleBigPlanet Karting,PS3,2012,Action,Sony Computer Entertainment,0.42,0.3,0.01,0.15,0.87,73.0,69.0,0.06240928882438316,71.01,67.61,46.22746976294147,Medium
1524,2394,Tony Hawk's Project 8,PS2,2006,Sports,Activision,0.72,0.03,0.0,0.12,0.87,69.0,73.0,0.010421715947649056,61.97,74.68,45.55347390531588,Medium
1525,2396,GRID,X360,2008,Racing,Codemasters,0.33,0.44,0.01,0.09,0.87,87.0,79.0,0.024218529991551677,85.33,84.15,56.501406176663856,High
1526,2397,DiRT,X360,2007,Racing,Codemasters,0.38,0.4,0.0,0.09,0.87,83.0,74.0,0.037902159541648314,82.05,78.16,53.415967386513884,High
1527,2399,Red Faction: Guerrilla,X360,2009,Shooter,THQ,0.48,0.29,0.01,0.09,0.87,85.0,81.0,0.02625152625152625,86.08,85.71,57.272083842083845,High
1528,2400,Fight Night Round 2,PS2,2005,Fighting,Electronic Arts,0.72,0.03,0.0,0.12,0.87,88.0,90.0,0.037068965517241384,88.24,95.51,61.262356321839064,High
1529,2401,Conflict: Desert Storm,XB,2002,Shooter,SCi,0.48,0.37,0.0,0.02,0.87,65.0,81.0,0.053283767038413886,58.97,82.05,47.02442792234614,Medium
1530,2404,Cooking Mama: World Kitchen,Wii,2008,Simulation,505 Games,0.51,0.27,0.01,0.08,0.87,62.0,49.0,0.024218529991551677,52.0,47.56,33.194739509997184,Low
1531,2405,Brothers in Arms: Hell's Highway,X360,2008,Shooter,Ubisoft,0.47,0.3,0.0,0.09,0.87,76.0,83.0,0.024218529991551677,70.67,89.02,53.23807284333053,High
1532,2406,Vagrant Story,PS,2000,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.87,92.0,83.0,0.16257088846880907,91.67,86.59,59.47419029615627,High
1533,2407,Warriors Orochi,PS2,2007,Action,Tecmo Koei,0.11,0.09,0.64,0.03,0.87,55.0,82.0,0.037902159541648314,46.15,87.36,44.51596738651389,Medium
1534,2409,Crysis 3,PS3,2013,Shooter,Electronic Arts,0.26,0.42,0.03,0.16,0.87,77.0,63.0,0.040893961008083686,76.19,64.63,46.95363132033603,Medium
1535,2410,Mercenaries 2: World in Flames,PS3,2008,Shooter,Electronic Arts,0.29,0.39,0.02,0.16,0.87,72.0,71.0,0.024218529991551677,65.33,74.39,46.58140617666385,Medium
1536,2413,Ghostbusters: The Video Game,Wii,2009,Action,Atari,0.59,0.2,0.0,0.07,0.86,76.0,85.0,0.02594627594627594,74.68,90.48,55.061982091982095,High
1537,2416,Guitar Hero Live,PS4,2015,Misc,Activision,0.34,0.38,0.0,0.14,0.86,80.0,62.0,0.09929906542056073,79.22,60.26,46.52643302180686,Medium
1538,2417,Endless Ocean: Blue World,Wii,2009,Simulation,Nintendo,0.46,0.21,0.12,0.06,0.86,76.0,85.0,0.02594627594627594,74.68,90.48,55.061982091982095,High
1539,2418,Winning Eleven: Pro Evolution Soccer 2007,PSP,2006,Sports,Konami Digital Entertainment,0.01,0.72,0.12,0.01,0.86,81.0,83.0,0.010300533204071741,78.87,87.34,55.40676684440135,High
1540,2419,Rocky,PS2,2002,Fighting,Rage Software,0.42,0.33,0.0,0.11,0.86,74.0,84.0,0.0526641883519207,70.51,85.9,52.15422139611732,High
1541,2420,Ford Racing,PS,2001,Racing,Empire Interactive,0.48,0.33,0.0,0.06,0.86,53.0,58.0,0.05678022712090847,38.03,48.57,28.885593409040307,Low
1542,2422,Guitar Hero: Warriors of Rock,X360,2010,Misc,Activision,0.47,0.31,0.0,0.08,0.86,72.0,65.0,0.0389908256880734,64.79,69.77,44.86633027522936,Medium
1543,2424,Lemmings,PSP,2006,Puzzle,Sony Computer Entertainment,0.12,0.51,0.0,0.23,0.86,76.0,79.0,0.010300533204071741,71.83,82.28,51.37343351106802,Medium
1544,2425,Dynasty Warriors 4: Xtreme Legends,PS2,2003,Action,Tecmo Koei,0.17,0.13,0.51,0.04,0.86,72.0,91.0,0.11821974965229486,69.01,93.83,54.31940658321744,High
1545,2429,2010 FIFA World Cup South Africa,X360,2010,Sports,Electronic Arts,0.32,0.42,0.02,0.09,0.85,83.0,81.0,0.03853211009174312,80.28,88.37,56.22951070336391,High
1546,2430,Tomb Raider: Anniversary,Wii,2007,Action,Eidos Interactive,0.12,0.62,0.0,0.11,0.85,73.0,73.0,0.0370207139709123,69.23,77.01,48.75900690465697,Medium
1547,2431,NBA 2K8,X360,2007,Sports,Take-Two Interactive,0.79,0.0,0.0,0.07,0.85,81.0,70.0,0.0370207139709123,79.49,73.56,51.029006904656974,Medium
1548,2433,Tiger Woods PGA Tour 2005,XB,2004,Sports,Electronic Arts,0.64,0.18,0.0,0.03,0.85,88.0,89.0,0.04038461538461539,88.24,92.0,60.09346153846153,High
1549,2436,Kingdoms of Amalur: Reckoning,PS3,2012,Role-Playing,Electronic Arts,0.37,0.29,0.09,0.11,0.85,81.0,76.0,0.06095791001451379,82.61,77.46,53.376985970004824,High
1550,2438,Dragon Ball Z: Burst Limit,PS3,2008,Fighting,Atari,0.22,0.33,0.18,0.12,0.85,71.0,72.0,0.02365530836384117,64.0,75.61,46.544551769454614,Medium
1551,2440,Tekken Tag Tournament 2,PS3,2012,Fighting,Namco Bandai Games,0.28,0.31,0.13,0.13,0.85,82.0,82.0,0.06095791001451379,84.06,85.92,56.68031930333817,High
1552,2441,Ninja Gaiden Sigma 2,PS3,2009,Action,Ubisoft Annecy,0.52,0.16,0.08,0.1,0.85,83.0,77.0,0.02564102564102564,83.54,80.95,54.83854700854701,High
1553,2442,Ratatouille,PS2,2007,Action,THQ,0.31,0.0,0.0,0.53,0.85,65.0,80.0,0.0370207139709123,58.97,85.06,48.02234023799031,Medium
1554,2444,Burnout 2: Point of Impact,PS2,2002,Racing,Acclaim Entertainment,0.42,0.32,0.0,0.11,0.85,86.0,82.0,0.05204460966542752,85.9,83.33,56.42734820322182,High
1555,2445,Wii Fit U,WiiU,2013,Sports,Nintendo,0.35,0.23,0.21,0.05,0.85,72.0,77.0,0.039942938659058486,70.24,81.71,50.66331431288635,Medium
1556,2446,Street Fighter EX3,PS2,2000,Fighting,Virgin Interactive,0.32,0.25,0.2,0.08,0.85,64.0,79.0,0.15879017013232513,52.78,81.71,44.88293005671078,Medium
1557,2447,The Legendary Starfy,DS,2008,Platform,Nintendo,0.6,0.0,0.2,0.05,0.85,75.0,84.0,0.02365530836384117,69.33,90.24,53.19788510278795,High
1558,2448,NCAA Football 11,PS3,2010,Sports,Electronic Arts,0.79,0.0,0.0,0.06,0.85,85.0,74.0,0.03853211009174312,83.1,80.23,54.456177370030574,High
1559,2449,The House of the Dead: Overkill,Wii,2009,Shooter,Sega,0.44,0.3,0.02,0.09,0.85,78.0,87.0,0.02564102564102564,77.22,92.86,56.70188034188035,High
1560,2450,Army of Two: The 40th Day,PS3,2010,Shooter,Electronic Arts,0.44,0.27,0.01,0.12,0.85,74.0,70.0,0.03853211009174312,67.61,75.58,47.74284403669726,Medium
1561,2451,Darksiders II,PS3,2012,Action,THQ,0.35,0.35,0.01,0.14,0.84,84.0,71.0,0.0602322206095791,86.96,70.42,52.48007740686986,High
1562,2452,Spider-Man 2,GC,2004,Action,Activision,0.65,0.17,0.0,0.02,0.84,80.0,88.0,0.039903846153846165,76.47,90.67,55.72663461538462,High
1563,2454, Tales of Xillia 2,PS3,2012,Role-Playing,Namco Bandai Games,0.2,0.12,0.45,0.07,0.84,71.0,79.0,0.0602322206095791,68.12,81.69,49.95674407353653,Medium
1564,2455,Ghostbusters: The Video Game,PS3,2009,Action,Sony Computer Entertainment,0.34,0.36,0.0,0.14,0.84,78.0,79.0,0.025335775335775333,77.22,83.33,53.52511192511192,High
1565,2456,The Incredibles,GC,2004,Action,THQ,0.65,0.17,0.0,0.02,0.84,63.0,71.0,0.039903846153846165,51.47,68.0,39.83663461538462,Low
1566,2457,Xenoblade Chronicles X,WiiU,2015,Role-Playing,Nintendo,0.36,0.28,0.14,0.06,0.84,84.0,89.0,0.09696261682242988,84.42,94.87,59.79565420560747,High
1567,2458,NBA 2K10,PS3,2009,Sports,Take-Two Interactive,0.75,0.01,0.01,0.07,0.84,83.0,78.0,0.025335775335775333,83.54,82.14,55.23511192511193,High
1568,2462,Skate 2,PS3,2009,Sports,Electronic Arts,0.46,0.25,0.01,0.12,0.84,84.0,78.0,0.025335775335775333,84.81,82.14,55.658445258445255,High
1569,2464,Big Mutha Truckers,PS2,2002,Racing,Empire Interactive,0.41,0.32,0.0,0.11,0.84,62.0,53.0,0.05142503097893433,55.13,46.15,33.777141676992976,Low
1570,2466,Rogue Galaxy,PS2,2005,Role-Playing,Sony Computer Entertainment,0.24,0.16,0.39,0.05,0.84,83.0,84.0,0.03577586206896552,80.88,88.76,56.55859195402299,High
1571,2467,ESPN College Hoops 2K5,PS2,2004,Sports,Sega,0.41,0.32,0.0,0.11,0.84,86.0,81.0,0.039903846153846165,85.29,81.33,55.55330128205128,High
1572,2468,NCAA Football 14,PS3,2013,Sports,Electronic Arts,0.75,0.0,0.0,0.09,0.84,77.0,62.0,0.03946742748454589,76.19,63.41,46.54648914249484,Medium
1573,2469,Harry Potter and the Order of the Phoenix,DS,2007,Action,Electronic Arts,0.28,0.46,0.0,0.1,0.84,51.0,49.0,0.03657999118554429,41.03,49.43,30.165526663728514,Low
1574,2470,Sniper Elite V2,X360,2012,Shooter,505 Games,0.46,0.28,0.02,0.07,0.84,67.0,68.0,0.0602322206095791,62.32,66.2,42.86007740686986,Low
1575,2471,Metroid: Zero Mission,GBA,2004,Adventure,Nintendo,0.6,0.22,0.0,0.01,0.84,89.0,90.0,0.039903846153846165,89.71,93.33,61.026634615384616,High
1576,2473,Burnout Legends,PSP,2005,Racing,Electronic Arts,0.7,0.05,0.0,0.08,0.84,86.0,84.0,0.03577586206896552,85.29,88.76,58.02859195402299,High
1577,2475,Blazing Angels: Squadrons of WWII,Wii,2007,Simulation,Ubisoft,0.74,0.04,0.0,0.06,0.83,57.0,67.0,0.03613926840017629,48.72,70.11,39.62204642280006,Low
1578,2476,Madden NFL 09 All-Play,Wii,2008,Sports,Electronic Arts,0.76,0.01,0.0,0.06,0.83,82.0,72.0,0.023092086736130658,78.67,75.61,51.434364028912036,Medium
1579,2478,Dynasty Warriors 2,PS2,2000,Action,THQ,0.24,0.19,0.34,0.06,0.83,75.0,88.0,0.1550094517958412,68.06,92.68,53.63166981726528,High
1580,2480,Time Crisis 4,PS3,2007,Shooter,Namco Bandai Games,0.32,0.32,0.05,0.14,0.83,60.0,74.0,0.03613926840017629,52.56,78.16,43.58537975613339,Medium
1581,2481,Duke Nukem Forever,X360,2011,Shooter,Take-Two Interactive,0.52,0.25,0.0,0.07,0.83,49.0,44.0,0.05570652173913043,37.33,42.11,26.49856884057971,Low
1582,2482,Lizzie McGuire 2: Lizzie Diaries,GBA,2004,Action,Disney Interactive Studios,0.6,0.22,0.0,0.01,0.83,57.0,50.0,0.03942307692307693,42.65,40.0,27.56314102564103,Low
1583,2484,NCAA Football 12,PS3,2011,Sports,Electronic Arts,0.78,0.0,0.0,0.05,0.83,82.0,58.0,0.05570652173913043,81.33,60.53,47.30523550724638,Medium
1584,2485,Brute Force,XB,2003,Shooter,Microsoft Game Studios,0.62,0.18,0.01,0.03,0.83,77.0,78.0,0.1140472878998609,76.06,77.78,51.31801576263329,Medium
1585,2486,Tiger Woods PGA Tour 11,PS3,2010,Sports,Electronic Arts,0.37,0.33,0.0,0.13,0.83,78.0,67.0,0.03761467889908257,73.24,72.09,48.45587155963304,Medium
1586,2488,WWE SmackDown vs. Raw 2009,Wii,2008,Fighting,THQ,0.44,0.31,0.0,0.08,0.83,79.0,85.0,0.023092086736130658,74.67,91.46,55.384364028912046,High
1587,2491,Sly 3: Honor Among Thieves,PS2,2005,Platform,Sony Computer Entertainment,0.69,0.03,0.0,0.11,0.83,83.0,88.0,0.0353448275862069,80.88,93.26,58.05844827586208,High
1588,2493,Need for Speed: Nitro,Wii,2009,Racing,Electronic Arts,0.45,0.3,0.0,0.08,0.83,69.0,74.0,0.025030525030525025,65.82,77.38,47.74167684167684,Medium
1589,2494,Street Fighter X Tekken,PS3,2012,Fighting,Capcom,0.42,0.21,0.1,0.09,0.83,84.0,53.0,0.059506531204644414,86.96,45.07,44.02983551040155,Medium
1590,2497,Sid Meier's Civilization Revolution,X360,2008,Strategy,Take-Two Interactive,0.58,0.17,0.0,0.07,0.83,84.0,78.0,0.023092086736130658,81.33,82.93,54.76103069557871,High
1591,2498,Tales of the Abyss,3DS,2011,Role-Playing,Namco Bandai Games,0.43,0.19,0.14,0.06,0.83,75.0,76.0,0.05570652173913043,72.0,84.21,52.0885688405797,High
1592,2499,Dragon Age II,PS3,2011,Action,Electronic Arts,0.4,0.26,0.05,0.11,0.83,82.0,43.0,0.05570652173913043,81.33,40.79,40.72523550724637,Low
1593,2500,Call of Duty: Modern Warfare 3,Wii,2011,Shooter,Activision,0.55,0.2,0.0,0.08,0.82,70.0,18.0,0.055027173913043466,65.33,7.89,24.42500905797101,Low
1594,2503,James Bond 007: Nightfire,XB,2002,Shooter,Electronic Arts,0.58,0.22,0.0,0.03,0.82,78.0,78.0,0.05018587360594797,75.64,78.21,51.30006195786865,Medium
1595,2504,Tony Hawk's Pro Skater 3,GC,2001,Sports,Activision,0.64,0.17,0.0,0.02,0.82,91.0,90.0,0.054108216432865716,91.55,94.29,61.964702738810956,High
1596,2505,Marvel: Ultimate Alliance,PS2,2006,Role-Playing,Activision,0.69,0.03,0.0,0.11,0.82,81.0,82.0,0.009815802229762482,78.87,86.08,54.98660526740993,High
1597,2506,DJ Hero 2,X360,2010,Misc,Activision,0.64,0.12,0.0,0.06,0.82,86.0,79.0,0.037155963302752296,84.51,86.05,56.86571865443426,High
1598,2507,Harvest Moon: Tree of Tranquility,Wii,2007,Simulation,Rising Star Games,0.67,0.03,0.06,0.05,0.82,65.0,82.0,0.035698545614808286,58.97,87.36,48.7885661818716,Medium
1599,2508,Tony Hawk's Underground 2 Remix,PSP,2005,Sports,Activision,0.46,0.21,0.0,0.15,0.82,83.0,80.0,0.03491379310344828,80.88,84.27,55.06163793103448,High
1600,2509,Need for Speed: Hot Pursuit 2,XB,2002,Racing,Electronic Arts,0.68,0.11,0.0,0.03,0.82,75.0,64.0,0.05018587360594797,71.79,60.26,44.03339529120199,Medium
1601,2514,Amped: Freestyle Snowboarding,XB,2001,Sports,Microsoft Game Studios,0.69,0.11,0.0,0.02,0.82,78.0,90.0,0.054108216432865716,73.24,94.29,55.86136940547762,High
1602,2517,Stranglehold,X360,2007,Shooter,Midway Games,0.4,0.33,0.01,0.09,0.82,77.0,76.0,0.035698545614808286,74.36,80.46,51.61856618187161,Medium
1603,2519,Shin Megami Tensei: Persona 4,PS2,2008,Role-Playing,Atlus,0.34,0.04,0.36,0.08,0.82,90.0,89.0,0.02281047592227541,89.33,96.34,61.897603491974095,High
1604,2520,Devil May Cry HD Collection,PS3,2012,Action,Capcom,0.42,0.19,0.11,0.09,0.82,74.0,88.0,0.05878084179970972,72.46,94.37,55.62959361393323,High
1605,2525,Dance Central 3,X360,2012,Misc,Microsoft Game Studios,0.57,0.18,0.0,0.06,0.81,86.0,80.0,0.05805515239477505,89.86,83.1,57.67268505079825,High
1606,2528,Tales of Destiny II,PS,2000,Role-Playing,Namco Bandai Games,0.06,0.04,0.66,0.05,0.81,78.0,87.0,0.15122873345935728,72.22,91.46,54.61040957781977,High
1607,2530,NASCAR 2001,PS,2000,Racing,Electronic Arts,0.45,0.31,0.0,0.05,0.81,73.0,61.0,0.15122873345935728,65.28,59.76,41.730409577819785,Low
1608,2532,The Legend of Zelda: Four Swords Adventures,GC,2004,Action,Nintendo,0.63,0.16,0.0,0.02,0.81,86.0,72.0,0.03846153846153847,85.29,69.33,51.55282051282052,Medium
1609,2534,MediEvil: Resurrection,PSP,2005,Adventure,Sony Computer Entertainment,0.19,0.41,0.0,0.22,0.81,66.0,87.0,0.03448275862068965,55.88,92.13,49.34816091954023,Medium
1610,2535,Valkyrie Profile,PS,1999,Role-Playing,Enix Corporation,0.07,0.05,0.63,0.05,0.81,81.0,88.0,0.08342133051742344,69.09,80.65,49.94114044350581,Medium
1611,2537,Patapon,PSP,2007,Misc,Sony Computer Entertainment,0.33,0.25,0.07,0.16,0.81,86.0,87.0,0.03525782282944029,85.9,93.1,59.67841927427648,High
1612,2541,Pro Evolution Soccer 2010,X360,2009,Sports,Konami Digital Entertainment,0.12,0.58,0.03,0.08,0.81,78.0,76.0,0.024420024420024417,77.22,79.76,52.33480667480668,High
1613,2542,Tom Clancy's Rainbow Six 3,PS2,2004,Shooter,Ubisoft,0.4,0.31,0.0,0.1,0.81,70.0,82.0,0.03846153846153847,61.76,82.67,48.15615384615385,Medium
1614,2543,Madden NFL 25,XOne,2013,Sports,Electronic Arts,0.67,0.05,0.0,0.08,0.81,73.0,59.0,0.038040893961008085,71.43,59.76,43.742680297987,Medium
1615,2544,NCAA Football 10,PS3,2009,Sports,Electronic Arts,0.75,0.0,0.0,0.06,0.81,80.0,69.0,0.024420024420024417,79.75,71.43,50.40147334147334,Medium
1616,2547,Guitar Hero: Warriors of Rock,PS3,2010,Misc,Activision,0.33,0.34,0.0,0.13,0.81,74.0,71.0,0.036697247706422034,67.61,76.74,48.128899082568815,Medium
1617,2551,The Sims 2,PS2,2005,Simulation,Electronic Arts,0.67,0.03,0.0,0.11,0.81,75.0,44.0,0.03448275862068965,69.12,43.82,37.65816091954023,Low
1618,2552,Dragon Ball: Raging Blast 2,PS3,2010,Fighting,Namco Bandai Games,0.42,0.18,0.11,0.09,0.81,60.0,75.0,0.036697247706422034,47.89,81.4,43.1088990825688,Low
1619,2555,Yakuza,PS2,2005,Action,Sega,0.03,0.02,0.74,0.01,0.8,75.0,82.0,0.03405172413793104,69.12,86.52,51.89135057471265,Medium
