,Borough,Major Category,Minor Category,MinorCategory,MajorCategory,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,NormalizedSumYears,CrimeTier
116,Brent,Theft and Handling,Handling Stolen Goods,17,7,77,47,44,78,73,65,52,45,37,44,23,-0.6786364766312242,0
117,Brent,Theft and Handling,Motor Vehicle Interference & Tampering,18,7,62,87,147,146,161,143,212,423,416,0,0,-0.5366631381636279,0
118,Brent,Theft and Handling,Other Theft,19,7,2375,2529,2575,2952,3156,2798,2942,2976,3206,3442,3400,2.0954492947868344,2
119,Brent,Theft and Handling,Other Theft Person,20,7,1125,1324,1009,972,982,911,724,721,719,889,949,0.20594955483732488,2
120,Brent,Theft and Handling,Theft From Motor Vehicle,21,7,2423,2338,2457,2463,2236,2070,1561,1807,1854,2316,2133,1.396127924696251,2
121,Brent,Theft and Handling,Theft From Shops,22,7,676,911,995,975,875,876,1181,1319,1491,1435,1361,0.29608430920455564,2
122,Brent,Theft and Handling,Theft/Taking Of Motor Vehicle,23,7,800,767,874,798,573,559,650,784,900,1298,1479,0.008141510154559866,1
123,Brent,Theft and Handling,Theft/Taking of Pedal Cycle,24,7,260,413,362,361,353,414,446,415,444,430,340,-0.35117647000150654,1
124,Brent,Violence Against the Person,Assault with Injury,25,8,2180,2445,2279,2189,2058,1539,1789,1828,2015,2163,2035,1.2976679159231799,2
125,Brent,Violence Against the Person,Common Assault,26,8,1460,1766,1780,1829,1649,1537,2247,2662,2930,3218,3275,1.2463843487832038,2
126,Brent,Violence Against the Person,Grievous Bodily Harm,27,8,223,522,260,0,0,0,0,0,0,0,0,-0.6245778246893012,0
127,Brent,Violence Against the Person,Harassment,28,8,1711,1876,2137,2295,2018,1805,2172,2499,2688,2749,3285,1.3952398975596279,2
128,Brent,Violence Against the Person,Murder,29,8,9,5,6,4,5,3,5,9,6,6,3,-0.7303640573395117,0
129,Brent,Violence Against the Person,Offensive Weapon,30,8,235,146,192,228,131,153,153,176,221,259,255,-0.5546456876802429,0
130,Brent,Violence Against the Person,Other violence,31,8,205,268,249,335,305,381,428,435,458,491,546,-0.39602184040096616,1
131,Brent,Violence Against the Person,Wounding/GBH,32,8,187,0,152,438,333,683,974,940,1021,1120,1107,-0.21131219598338985,1
132,Bromley,Burglary,Burglary in a Dwelling,0,0,1968,2202,1923,1974,2152,2035,1833,1552,1438,2062,2189,1.1594686927862312,2
133,Bromley,Burglary,Burglary in Other Buildings,1,0,1592,1559,1110,1201,1304,1101,861,965,777,1072,973,0.4260692813277418,2
134,Bromley,Criminal Damage,Criminal Damage To Dwelling,2,1,944,847,673,544,522,470,511,536,448,497,453,-0.1261725942596633,1
135,Bromley,Criminal Damage,Criminal Damage To Motor Vehicle,3,1,2118,1630,1253,1231,968,838,916,899,886,866,785,0.45592919379668895,2
136,Bromley,Criminal Damage,Criminal Damage To Other Building,4,1,490,391,268,258,236,191,235,209,193,189,186,-0.4618468519031433,1
137,Bromley,Criminal Damage,Other Criminal Damage,5,1,830,703,621,645,544,511,620,641,678,736,787,-0.09309358342045791,1
138,Bromley,Drugs,Drug Trafficking,6,2,123,78,85,150,97,82,67,67,53,81,38,-0.6471115132811089,0
139,Bromley,Drugs,Other Drugs,7,2,2,3,7,3,7,6,3,5,5,6,3,-0.7315850946523683,0
140,Bromley,Drugs,Possession Of Drugs,8,2,1045,1118,1059,940,935,981,938,808,674,544,662,0.20717059215018144,2
141,Bromley,Fraud or Forgery,Counted per Victim,9,3,1131,1068,1250,1173,394,43,0,0,0,0,0,-0.17457007320561477,1
142,Bromley,Fraud or Forgery,Other Fraud & Forgery,10,3,226,255,237,238,238,35,17,19,35,39,22,-0.5918318240263295,0
143,Bromley,Other Notifiable Offences,Going Equipped,11,4,22,23,13,23,19,12,9,15,14,17,10,-0.7194857249158805,0
144,Bromley,Other Notifiable Offences,Other Notifiable,12,4,213,270,276,190,227,268,327,391,407,389,395,-0.450968519479512,1
145,Bromley,Robbery,Business Property,13,5,117,79,75,66,63,70,55,43,38,64,69,-0.6688681781283715,0
146,Bromley,Robbery,Personal Property,14,5,715,519,539,672,542,508,338,319,330,565,384,-0.23861903043454596,1
147,Bromley,Sexual Offences,Other Sexual,15,6,189,219,191,187,169,186,241,276,319,335,378,-0.5166825275896113,1
148,Bromley,Sexual Offences,Rape,16,6,27,61,57,70,59,111,119,128,155,183,204,-0.648776564162277,0
149,Bromley,Theft and Handling,Handling Stolen Goods,17,7,54,71,61,49,62,40,49,28,25,28,18,-0.6874057446053758,0
150,Bromley,Theft and Handling,Motor Vehicle Interference & Tampering,18,7,292,298,188,154,166,199,243,333,342,0,0,-0.4902637202750781,1
151,Bromley,Theft and Handling,Other Theft,19,7,2579,2245,2399,2739,3189,2862,2788,2841,2691,2759,2633,1.9649093057032587,2
152,Bromley,Theft and Handling,Other Theft Person,20,7,443,386,325,322,366,365,303,275,352,297,308,-0.38791859277928165,1
153,Bromley,Theft and Handling,Theft From Motor Vehicle,21,7,2882,2391,2148,2132,1937,1963,1671,1462,1440,1864,2029,1.2648109118681303,2
154,Bromley,Theft and Handling,Theft From Shops,22,7,1595,1493,1443,1459,1233,1532,1750,1688,1850,1722,2074,0.8226844012219726,2
155,Bromley,Theft and Handling,Theft/Taking Of Motor Vehicle,23,7,1105,861,753,766,764,647,572,797,709,883,900,0.038001422623506996,2
156,Bromley,Theft and Handling,Theft/Taking of Pedal Cycle,24,7,226,263,209,280,253,178,167,170,207,227,215,-0.5193466089994802,1
157,Bromley,Violence Against the Person,Assault with Injury,25,8,1941,1932,1752,1656,1383,1278,1375,1422,1468,1542,1524,0.8408889575227434,2
158,Bromley,Violence Against the Person,Common Assault,26,8,1213,1254,1109,988,1033,1022,1423,1687,1647,1878,1915,0.5266383545502924,2
159,Bromley,Violence Against the Person,Grievous Bodily Harm,27,8,124,290,118,0,0,0,0,0,0,0,0,-0.6770824291421339,0
160,Bromley,Violence Against the Person,Harassment,28,8,1740,1770,1510,1507,1376,1307,1890,2622,2555,2713,2937,1.070665979123935,2
