Borough,Major Category,Minor Category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brent,Violence Against the Person,Assault with Injury,2180,2445,2279,2189,2058,1539,1789,1828,2015,2163,2035
Brent,Violence Against the Person,Common Assault,1460,1766,1780,1829,1649,1537,2247,2662,2930,3218,3275
Brent,Violence Against the Person,Grievous Bodily Harm,223,522,260,0,0,0,0,0,0,0,0
Brent,Violence Against the Person,Harassment,1711,1876,2137,2295,2018,1805,2172,2499,2688,2749,3285
Brent,Violence Against the Person,Murder,9,5,6,4,5,3,5,9,6,6,3
Brent,Violence Against the Person,Offensive Weapon,235,146,192,228,131,153,153,176,221,259,255
Brent,Violence Against the Person,Other violence,205,268,249,335,305,381,428,435,458,491,546
Brent,Violence Against the Person,Wounding/GBH,187,0,152,438,333,683,974,940,1021,1120,1107
Bromley,Burglary,Burglary in a Dwelling,1968,2202,1923,1974,2152,2035,1833,1552,1438,2062,2189
Bromley,Burglary,Burglary in Other Buildings,1592,1559,1110,1201,1304,1101,861,965,777,1072,973
Bromley,Criminal Damage,Criminal Damage To Dwelling,944,847,673,544,522,470,511,536,448,497,453
Bromley,Criminal Damage,Criminal Damage To Motor Vehicle,2118,1630,1253,1231,968,838,916,899,886,866,785
Bromley,Criminal Damage,Criminal Damage To Other Building,490,391,268,258,236,191,235,209,193,189,186
Bromley,Criminal Damage,Other Criminal Damage,830,703,621,645,544,511,620,641,678,736,787
Bromley,Drugs,Drug Trafficking,123,78,85,150,97,82,67,67,53,81,38
Bromley,Drugs,Other Drugs,2,3,7,3,7,6,3,5,5,6,3
Bromley,Drugs,Possession Of Drugs,1045,1118,1059,940,935,981,938,808,674,544,662
Bromley,Fraud or Forgery,Counted per Victim,1131,1068,1250,1173,394,43,0,0,0,0,0
Bromley,Fraud or Forgery,Other Fraud & Forgery,226,255,237,238,238,35,17,19,35,39,22
Bromley,Other Notifiable Offences,Going Equipped,22,23,13,23,19,12,9,15,14,17,10
